4,1.2,4.3,8.1,11.8,4,5.5,6.6,6.7,8.2,8.3,8.7,14296,102,127,27,4.6,2.6,0.957,7,1.5,100,8,-0.5,102.7,3.8,0.3,1.592
3.2,7.8,10.2,4.2,6.1,3.9,5.7,6.5,6.4,8.5,8.3,9.2,13619,105,125,33.5,3.6,0.9,0.955,7.1,-0.3,100.7,0.9,-1.1,106.1,2.9,0.5,1.513
3.7,0.5,3.1,4.8,7.4,4,6,6.1,6.1,8.1,8,9.5,13613,107,139,21.9,2.2,3.4,0.884,8.1,2.2,101.5,0.3,-0.3,107.9,1.2,1,1.479
2.9,2.3,4.5,1.4,3.6,3.9,6,5.6,5.8,7.9,7.6,9.5,12176,110,144,31.7,3.1,2.8,0.939,3,2.4,105.1,3.8,-1.1,114.4,0.8,1.9,1.496
3.9,-1.1,1.4,3.5,6.3,4.2,4.8,4.9,5.3,7.4,7,8.6,10646,112,143,32.8,3.4,1.2,0.879,4.9,1.7,106,2.3,0.7,125.5,4.1,-0.1,1.419
2.8,2.1,5.1,-0.3,1.6,4.4,3.7,4.9,5.5,7.5,7.1,7.3,11407,114,142,34.7,0.6,4,0.847,5.5,2.1,106.1,-1.9,-2.3,124.7,3.4,3.2,1.408
1.1,-1.3,0,9.8,10.1,4.8,3.2,4.6,5.3,7.3,7,6.6,9563,116,143,43.7,0.3,1.4,0.91,4.7,1.3,106.4,-4.4,-0.5,119.2,2.6,1,1.469
-0.3,1.1,2.3,-4.9,-4.6,5.5,1.9,4.2,5.1,7.2,6.8,5.2,10708,118,139,35.3,0.9,1.7,0.89,8.5,0,106.9,-1,-1.9,131,1.3,-0.1,1.454
1.3,3.7,5.1,10.1,10.9,5.7,1.7,4.5,5.4,7.6,7,4.8,10776,120,140,26.1,0.5,3.1,0.872,7.7,0.5,107.3,0.4,-1.1,132.7,1.9,2,1.425
3.2,2.2,3.8,2,5.2,5.8,1.7,4.5,5.4,7.6,6.8,4.8,9384,123,140,28.4,1.9,2,0.986,8.1,1.1,104.8,3.2,0.1,119.9,2.9,0.9,1.525
2.2,2,3.8,-0.5,1.5,5.7,1.6,3.4,4.5,7.3,6.3,4.8,7774,127,142,45.1,1.6,1.6,0.988,7.2,1.5,105.5,1.6,-0.4,121.7,3.3,1.3,1.57
2.4,0.3,2.4,1.9,3.8,5.9,1.3,3.1,4.3,7,6.1,4.5,8343,129,144,42.6,0.6,2.3,1.049,6.5,0.7,104.5,1.1,-0.8,118.8,3.8,1.9,1.61
4.2,2.1,4.6,1.1,4,5.9,1.2,2.9,4.2,6.5,5.8,4.3,8052,132,151,34.7,-1,3.3,1.09,6.7,3.6,105.5,-0.5,0,118.1,2.5,1.7,1.579
-0.7,3.8,5.1,5.9,6.3,6.1,1,2.6,3.8,5.7,5.5,4.2,9342,135,151,29.1,0.2,0.5,1.15,2.1,1.1,104,3.3,0.3,119.9,3.7,0.2,1.653
3,6.9,9.3,6.7,9.3,6.1,0.9,3.1,4.4,6,6,4,9650,139,149,22.7,2.1,2.1,1.165,14.3,0.1,102.6,1.6,-0.5,111.4,4,1.7,1.662
1.5,4.8,6.8,1.6,3.3,5.8,0.9,3.2,4.4,5.8,5.9,4,10800,143,147,21.1,3.1,2.3,1.26,13,5.5,103.4,4.5,-1,107.1,3.1,1.7,1.784
3.4,2.3,5.9,2.9,6.1,5.7,0.9,3,4.1,5.5,5.6,4,11039,148,153,21.6,2.3,2.2,1.229,5.6,4,101.4,3.1,0.8,104.2,2.1,1.4,1.84
3.2,3,6.6,4,7,5.6,1.1,3.7,4.7,6.1,6.1,4,11145,154,164,20,2.1,2.6,1.218,6.9,4.1,102.8,-0.1,-0.4,109.4,1.7,0.8,1.813
2.6,3.7,6.3,2.1,4.5,5.4,1.5,3.5,4.4,5.8,5.9,4.4,10894,159,175,19.3,1.2,2,1.242,8.2,4.1,102.7,2.1,-0.1,110.2,0.9,1.1,1.809
4.4,3.5,6.4,5.1,8.5,5.4,2,3.5,4.3,5.4,5.7,4.9,11951,165,178,16.6,1.5,2.4,1.354,6.4,0.8,98.9,-1.1,1.9,102.7,1.5,2.4,1.916
2,4.3,8.3,-3.8,-1.8,5.3,2.5,3.9,4.4,5.4,5.8,5.4,11637,172,179,14.7,0.7,1.4,1.297,10.6,2.9,98.6,1.9,-1.2,107.2,3.4,2.6,1.889
2.7,2.1,5.1,3.2,6,5.1,2.9,3.9,4.2,5.5,5.7,5.9,11857,179,185,17.7,2.7,2.2,1.21,8.6,1.5,98.9,3.2,-1,110.9,4.4,1.8,1.793
6.2,3.4,7.3,2.1,6.6,5,3.4,4,4.3,5.5,5.8,6.4,12283,185,190,14.2,3,3.1,1.206,9.3,2.4,98.6,3.9,-1,113.3,4.3,2.8,1.77
3.8,2.3,5.4,3.4,6.6,5,3.8,4.4,4.6,5.9,6.2,7,12497,191,199,16.5,2.4,2.4,1.184,11.7,1.6,98.1,0.8,0.1,117.9,6,1.4,1.719
2.1,4.9,8.2,9.5,11.5,4.7,4.4,4.6,4.7,6,6.2,7.4,13122,194,204,14.6,3.7,1.7,1.214,11,2.4,96.8,0.3,1.2,117.5,1.1,1.9,1.739
3.7,1.2,4.5,0.6,3.7,4.6,4.7,5,5.2,6.5,6.6,7.9,12809,193,213,23.8,4.3,2.5,1.278,7,3.2,96.7,1.4,0.4,114.5,0.8,3,1.849
3.8,0.4,3.2,1.2,4.1,4.6,4.9,4.8,5,6.4,6.6,8.3,13322,192,220,18.6,2.6,2.1,1.269,10.3,2.2,96.4,-0.7,0.4,118,0.3,3.3,1.872
-1.6,3.2,4.6,5.3,4.6,4.4,4.9,4.6,4.7,6.1,6.2,8.3,14216,191,222,12.7,4.5,0.9,1.32,11.2,3.6,94.6,4.9,-0.5,119,1.5,2.6,1.959
4,0.2,4.8,2.6,6.5,4.5,5,4.6,4.8,6.1,6.2,8.3,14354,189,230,19.6,3,2.3,1.337,13.9,3.6,94,3,-0.7,117.6,3.7,2.5,1.969
4.6,3.1,5.4,0.8,4,4.5,4.7,4.7,4.9,6.3,6.4,8.3,15163,184,239,18.9,2.6,2.3,1.352,10.5,4.9,91.9,0.5,0.4,123.4,2.9,1.8,2.006
2.6,2.7,4.2,1.1,3.4,4.7,4.3,4.5,4.8,6.5,6.6,8.2,15318,178,247,30.8,2,2.1,1.422,8.7,7.6,90.6,-1.8,0.3,115,2.7,0.3,2.039
5,1.4,3.2,0.3,4.4,4.8,3.4,3.8,4.4,6.4,6.2,7.5,14754,172,249,31.1,2.1,4.8,1.46,12.8,5.9,89.4,2,2.2,111.7,3.3,4,1.984
4.4,-2.7,-0.5,2.9,6.5,5,2.1,2.8,3.9,6.5,5.9,6.2,13284,165,236,32.2,2.2,4.3,1.581,7.2,8.1,88,1.2,1.2,99.9,1.1,3.4,1.986
5.3,2,4,8.7,13.3,5.3,1.6,3.2,4.1,6.8,6.1,5.1,13016,157,224,24.1,-1.5,3.2,1.575,6,6.3,88.7,-2,1.8,106.2,-2.7,5.8,1.991
6.3,-1.9,0.8,-8.9,-5.1,6,1.5,3.1,4.1,7.2,6.3,5,11826,150,231,46.7,-2.3,3.2,1.408,3.1,2.9,91.5,-5,3.4,105.9,-6.3,5.9,1.78
-8.9,-8.2,-7.7,2.6,-3.2,6.9,0.3,2.2,3.7,9.4,5.9,4.1,9057,142,219,80.9,-6.7,-1.4,1.392,0.3,-1.1,92.2,-8.8,-2.1,90.8,-8.4,0.4,1.462
-2.7,-5.4,-4.5,-0.8,-3,8.3,0.2,1.9,3.2,9,5.1,3.3,8044,138,208,56.7,-11.2,-1.1,1.326,4.4,-1.4,94.2,-18.2,-3.6,99.2,-6.2,-0.2,1.43
2.1,-0.5,-1.2,2.9,4.7,9.3,0.2,2.3,3.7,8.2,5,3.3,9343,138,180,42.3,-1.1,0,1.402,15.1,2.3,92.2,8.7,-1.6,96.4,-0.9,2.3,1.645
3.5,1.3,1.2,-4.3,-1.9,9.6,0.2,2.5,3.8,6.8,5.2,3.3,10813,138,160,31.3,1.2,1.1,1.463,12.7,4.1,91.3,0.1,-1.4,89.5,0.6,3.6,1.6
3.2,3.9,5.2,-0.5,2.2,9.9,0.1,2.3,3.7,6.1,4.9,3.3,11385,139,160,30.7,2.2,1.6,1.433,9.2,5,90.6,5.9,-1.5,93.1,1.1,2.8,1.617
0.6,1.7,3.2,0.4,1.8,9.8,0.1,2.4,3.9,5.8,5,3.3,12032,139,152,27.3,1.7,1.8,1.353,9.8,4.4,89.8,3.5,1,93.4,2.2,4.2,1.519
-0.1,3.9,5.8,5.3,5.8,9.6,0.1,2.3,3.6,5.6,4.9,3.3,10646,138,165,45.8,3.8,2,1.229,9.7,3.4,91,5.1,-1.4,88.5,3.6,3.3,1.495
1.2,2.7,4.6,2,3.2,9.5,0.2,1.6,2.9,5.1,4.4,3.3,11814,135,165,32.9,1.8,1.6,1.36,8.8,4.2,88.4,7.5,-1.9,83.5,1.9,2.2,1.573
3.3,2.5,4.7,2.8,5,9.5,0.1,1.5,3,5,4.4,3.3,13131,134,167,23.5,2.4,2.6,1.327,9.2,7.5,87.4,-2.9,1.3,81.7,0.3,3.9,1.539
4.3,-1.5,0.2,5,8.2,9,0.1,2.1,3.5,5.4,4.8,3.3,13909,133,172,29.4,3.4,3.7,1.418,9.8,6.2,86.4,-6.1,-0.1,82.8,2.4,7,1.605
4.6,2.9,6,-0.6,3.5,9.1,0,1.8,3.3,5.1,4.7,3.3,13843,132,173,22.7,0,3.2,1.452,6.5,5.4,85.3,-1.9,-0.7,80.6,0.6,4.6,1.607
2.6,0.8,3.3,2.1,4.3,9,0,1.1,2.5,4.9,4.3,3.3,11677,133,172,48,0,1.3,1.345,5.4,5.3,87.3,10.1,0.3,77,1.5,3.5,1.562
1.8,4.6,5.2,0.2,1.6,8.6,0,1,2.1,5,4,3.3,13019,133,178,45.5,-1.4,3.5,1.297,6.7,3,87.3,-0.6,-0.6,77,0.8,3.4,1.554
2.3,2.7,4.9,6.7,9.2,8.3,0.1,0.9,2.1,4.7,3.9,3.3,14627,134,180,23,-0.6,2.8,1.333,7.4,3.2,86.2,4.6,2.2,82.4,2.6,2.3,1.599
0.8,1.9,3.8,3.1,4.4,8.2,0.1,0.8,1.8,4.5,3.8,3.3,14100,138,181,26.7,-1.4,2.3,1.267,5.9,3.9,88,-2.4,-1.4,79.8,-0.4,1.9,1.569
1.8,0.5,2.7,-0.2,1.1,8,0.1,0.7,1.6,4.2,3.6,3.3,14895,140,187,20.5,-0.6,1.6,1.286,6.6,2.2,86.1,-1.5,-1.9,77.9,4.7,2.1,1.613
2.7,0.1,1.7,10.9,13.3,7.8,0.1,0.7,1.7,3.9,3.4,3.3,14835,143,187,22.7,-1.7,2.4,1.319,7.2,3.5,86,0.9,0.1,86.6,-0.6,4.2,1.626
1.6,2.8,4.4,-15.7,-14.5,7.7,0.1,0.8,1.9,4,3.5,3.3,16396,147,190,19,-1.3,1.2,1.282,6.5,4.3,86.2,4.5,0.7,94.2,2.6,3,1.519
-0.5,0.8,1.6,2.4,2.5,7.5,0.1,0.9,2,4.1,3.7,3.3,16771,151,199,20.5,1.9,0.4,1.301,6.4,3,87.1,3.8,-0.1,99.2,2.2,1.5,1.521
2.2,3.1,5.1,2.4,3.9,7.2,0,1.5,2.7,4.9,4.4,3.3,17718,155,208,17,1.4,1.3,1.354,7.7,3.7,86.5,3.1,2.7,98.3,3.4,2.1,1.618
1.6,4,6.1,0.9,2.6,6.9,0.1,1.4,2.8,4.8,4.3,3.3,19413,158,212,20.3,1,0.3,1.378,6.7,4,85.8,0,2.6,105.3,2.1,1.7,1.657
2.6,-0.9,0.7,4.3,6.5,6.7,0,1.6,2.8,4.6,4.4,3.3,19711,160,211,21.4,1.7,0.8,1.378,6,1.4,86.8,3.3,1.1,103,3.5,1.8,1.668
1.9,4.6,7,5.3,7.1,6.2,0,1.7,2.7,4.3,4.2,3.3,20569,161,220,17,0.5,0,1.369,7.4,2.6,86.6,-6.6,8.2,101.3,3.5,1.4,1.711
1,5.2,7.1,4.2,5.5,6.1,0,1.7,2.5,4.2,4.1,3.3,20459,163,223,17,1.7,0.3,1.263,6.7,2.3,86.9,-0.2,1.6,109.7,3.1,0.8,1.622
-0.7,2,2.6,5.9,5.7,5.7,0,1.6,2.3,4.2,4,3.3,21425,166,234,26.3,2,-0.4,1.21,5.7,1.2,88.1,2.8,-0.5,119.9,3.1,-0.4,1.558
-2.5,3.2,3.2,4.3,2.6,5.6,0,1.5,2,4,3.7,3.3,21708,168,249,22.4,3,-0.9,1.074,6.1,0.8,87.9,5.1,0.4,120,1.4,-1.3,1.485
2.4,2.7,5,3.8,5.6,5.4,0,1.5,2.2,4.2,3.8,3.3,21631,170,251,18.9,1.3,1.9,1.115,6.9,2.8,88.3,0.5,0.5,122.1,2.3,0.8,1.573
1.5,1.6,3,1.8,3.2,5.1,0,1.6,2.3,4.5,4,3.3,19959,172,257,40.7,1.7,-0.2,1.116,6.5,2.7,90.9,0.3,0.1,119.8,1.7,0.8,1.512
0.4,0.5,1.3,2.9,3.1,5,0.1,1.6,2.2,4.6,3.9,3.3,21101,175,254,24.4,1.9,-0.1,1.086,5.4,1.5,92.2,-0.9,-0.4,120.3,2.9,0,1.475
0.1,0.6,0.8,0.2,0.9,4.9,0.3,1.4,2,4.6,3.7,3.5,21179,177,245,28.1,2,-1.3,1.139,6.6,2.8,91.7,2.2,0,112.4,0.8,-0.1,1.438
2.3,2.2,4.7,1.9,4,4.9,0.3,1.3,1.8,4.1,3.6,3.5,21621,179,248,25.8,1.4,1.2,1.103,6.6,2.8,94,1.6,-1.1,102.8,1.9,0.7,1.324
1.8,2.8,4.2,0.7,2.5,4.9,0.3,1.2,1.6,3.7,3.4,3.5,22469,182,266,18.1,1.6,1.2,1.124,6.1,1.2,93.6,0.9,-0.5,101.2,2.2,2.2,1.302
3,1.8,3.8,-1.8,0.1,4.7,0.4,1.7,2.2,4.1,3.8,3.5,23277,184,269,22.5,2.7,1.8,1.055,5.7,2.3,97.5,1.4,3,116.8,3,2,1.234
3.1,1.2,3.3,2.9,5.2,4.7,0.6,2,2.5,4.2,4.2,3.8,24508,187,262,13.1,2.5,2.8,1.07,6.7,0.6,95.2,1.5,-0.1,111.4,1.2,3.7,1.254
-0.3,3.1,4.1,2.7,3,4.3,0.9,1.8,2.3,4,4,4,25125,190,272,16,2.9,0.2,1.141,6,2,94.5,2.9,-0.8,112.4,1.2,3,1.3
2,3.2,5.3,0.5,2.1,4.3,1,1.8,2.3,3.9,3.9,4.3,26149,193,275,16,2.9,1,1.181,6.6,2.4,93.5,2.5,0.4,112.6,1.6,2.4,1.34
3.7,2.7,5,1.9,5.6,4.1,1.2,2.1,2.4,4,3.9,4.3,27673,194,279,13.1,2.3,1.7,1.202,5.9,2.6,91,1.8,0.9,112.7,1.4,2.9,1.353
